session_id,turn_index,input_tokens,output_tokens,finish_reason,num_tool_calls,tool_duration_ms,tool_result_tokens,llm_latency_ms,ttft_ms,timestamp_ms
session_001,0,500,120,tool_calls,2,350,180,850,45,1708000000000
session_001,1,800,150,tool_calls,1,200,100,720,52,1708000001500
session_001,2,1050,100,stop,0,0,0,580,48,1708000002500
session_002,0,450,200,tool_calls,3,500,250,950,40,1708000000500
session_002,1,900,180,tool_calls,1,150,80,680,55,1708000002000
session_002,2,1160,90,tool_calls,2,300,120,620,50,1708000003000
session_002,3,1370,75,stop,0,0,0,520,42,1708000003800
session_003,0,600,100,tool_calls,1,180,90,700,38,1708000001000
session_003,1,790,250,stop,0,0,0,900,60,1708000002100
session_004,0,520,80,stop,0,0,0,450,35,1708000001200
session_005,0,480,150,tool_calls,2,400,200,820,42,1708000000800
session_005,1,830,120,tool_calls,1,250,100,650,48,1708000002000
session_005,2,1100,180,tool_calls,2,350,150,780,52,1708000003200
session_005,3,1430,100,stop,0,0,0,580,45,1708000004300
